Peringkat,Blok,Dirian Pokok,Luas,Jumlah Pokok,Target Hasil,Hasil Sebenar January,Hasil Sebenar February,Hasil Sebenar March,Hasil Sebenar April,Hasil Sebenar May,Hasil Sebenar June,Hasil Sebenar July,Hasil Sebenar August,Hasil Sebenar September,Hasil Sebenar October,Hasil Sebenar November,Hasil Sebenar December,Jumlah Hasil (Metrik Tan),Pencapaian Hasil (Tan/Hektar)
1G,1,130,60.6,7878,16.37,76.77,63.5,53.49,46.9,46.1,0,0,0,0,0,0,0,286.76,4.73
1G,2,130,81.81,10635,16.37,111.78,89.54,67.82,82.06,75.88,0,0,0,0,0,0,0,427.08,5.22
1G,3,130,78.78,10241,16.37,109.59,103.85,86.77,115.76,82.81,0,0,0,0,0,0,0,498.78,6.33
1G,4,130,68.38,8889,16.37,96.14,97.81,80.86,80.83,78.26,0,0,0,0,0,0,0,433.9,6.35
1G,5,130,76.18,9903,16.37,160.51,96.9,73.68,77.98,76.32,0,0,0,0,0,0,0,485.39,6.37
1G,6,130,60.6,7878,16.37,98.43,83.68,60.36,67.17,60.6,0,0,0,0,0,0,0,370.24,6.11
1G,7,130,86.16,11201,16.37,137.44,85.97,61.13,102.81,69.36,0,0,0,0,0,0,0,456.71,5.3
1A,8,116,85.5,9918,14.04,87.52,84.38,72.51,75.94,66.36,0,0,0,0,0,0,0,386.71,4.52
1A,9,116,68.4,7934,14.04,77.11,67.97,52.35,66.98,60.94,0,0,0,0,0,0,0,325.35,4.76
1D,10,108,63.75,6885,16.37,64.61,60.25,41.49,61.76,63.08,0,0,0,0,0,0,0,291.19,4.57
1D,11,108,64.4,6955,16.37,47.22,29.69,34.77,46.83,49.22,0,0,0,0,0,0,0,207.73,3.23
1A,12,116,73.91,8574,14.04,56.85,42.95,40.05,38.2,41.98,0,0,0,0,0,0,0,220.03,2.98
1A,13,116,56.8,6589,14.04,36.9,49.83,32.61,29.76,38.32,0,0,0,0,0,0,0,187.42,3.3
1C,21,110,4.82,530,13.65,3.08,3.17,3.68,2.64,5.22,0,0,0,0,0,0,0,17.79,3.69
2G,14,122,66.85,8156,14.07,67.81,61.74,42.63,53.04,51.11,0,0,0,0,0,0,0,276.33,4.13
2G,15,122,62.93,7677,14.07,83.28,56.92,45.02,43.22,50.7,0,0,0,0,0,0,0,279.14,4.44
2G,16,122,61.13,7458,14.07,49.41,38.7,32.48,30.68,41.78,0,0,0,0,0,0,0,193.05,3.16
3,17,115,65.1,7487,15.5,65.34,61.22,45.59,37.03,60.88,0,0,0,0,0,0,0,270.06,4.15
3,18,115,88.19,10142,15.5,93.76,67.47,53.23,64.87,82.72,0,0,0,0,0,0,0,362.05,4.11
3,19,115,63.95,7354,15.5,56.37,50.62,58.26,38.42,47.74,0,0,0,0,0,0,0,251.41,3.93
3,20,115,57.3,6590,15.5,50.96,39.9,32.49,27.19,33.11,0,0,0,0,0,0,0,183.65,3.21
4,1,122,719.49,87778,15.68,804.29,702.19,623.12,868.45,772.41,0,0,0,0,0,0,0,3770.46,5.24
1F,88,,1.64,0,16.37,1.24,2.16,2.18,1.08,0.88,0.64,0,0,0,0,0,0,8.18,4.99
2F,88,,4.79,0,16.37,4,4,5.78,6.41,6.02,3.84,0,0,0,0,0,0,30.05,6.27
3F,88,,22.44,0,11.68,17.98,19.76,14,12.32,18.17,10.52,0,0,0,0,0,0,92.75,4.13
