Peringkat,Blok,Dirian Pokok,Luas,Jumlah Pokok,Tandan Sebenar January,Tandan Sebenar February,Tandan Sebenar March,Tandan Sebenar April,Tandan Sebenar May,Tandan Sebenar June,Tandan Sebenar July,Tandan Sebenar August,Tandan Sebenar September,Tandan Sebenar October,Tandan Sebenar November,Tandan Sebenar December,Jumlah Tandan,Tandan Muda January,Tandan Muda February,Tandan Muda March,Tandan Muda April,Tandan Muda May,Tandan Muda June,Tandan Muda July,Tandan Muda August,Tandan Muda September,Tandan Muda October,Tandan Muda November,Tandan Muda December,Jumlah Tandan Muda,Berat Tandan January,Berat Tandan February,Berat Tandan March,Berat Tandan April,Berat Tandan May,Berat Tandan June,Berat Tandan July,Berat Tandan August,Berat Tandan September,Berat Tandan October,Berat Tandan November,Berat Tandan December,Purata Berat Tandan
1G,1,130,60.6,7878,4515,3735,3146,3000,3036,0,0,0,0,0,0,0,17432,40,29,24,12,23,0,0,0,0,0,0,0,128,17,17,17,15.63,15.18,0,0,0,0,0,0,0,16.36
1G,2,130,81.81,10635,6575,5267,3989,4661,4519,0,0,0,0,0,0,0,25011,31,37,26,15,11,0,0,0,0,0,0,0,120,17,17,17,17.61,16.79,0,0,0,0,0,0,0,17.08
1G,3,130,78.78,10241,6446,6108,5104,6520,5246,0,0,0,0,0,0,0,29424,18,32,35,27,12,0,0,0,0,0,0,0,124,17,17,17,17.75,15.79,0,0,0,0,0,0,0,16.91
1G,4,130,68.38,8889,5655,5753,4756,4804,4702,0,0,0,0,0,0,0,25670,27,41,43,18,35,0,0,0,0,0,0,0,164,17,17,17,16.83,16.64,0,0,0,0,0,0,0,16.89
1G,5,130,76.18,9903,9441,5700,4334,4525,4446,0,0,0,0,0,0,0,28446,32,40,39,19,10,0,0,0,0,0,0,0,140,17,17,17,17.23,17.17,0,0,0,0,0,0,0,17.08
1G,6,130,60.6,7878,5790,4922,3550,3968,4002,0,0,0,0,0,0,0,22232,33,23,19,8,13,0,0,0,0,0,0,0,96,17,17,17,16.93,15.14,0,0,0,0,0,0,0,16.61
1G,7,130,86.16,11201,8084,5057,3713,6215,4183,0,0,0,0,0,0,0,27252,37,41,40,23,21,0,0,0,0,0,0,0,162,17,17,16.46,16.54,16.58,0,0,0,0,0,0,0,16.72
1A,8,116,85.5,9918,6199,5576,4899,4263,3274,0,0,0,0,0,0,0,24211,4,10,11,7,1,0,0,0,0,0,0,0,33,14.12,15.13,14.8,17.81,20.27,0,0,0,0,0,0,0,16.43
1A,9,116,68.4,7934,4898,4602,3163,3981,3250,0,0,0,0,0,0,0,19894,12,12,10,8,6,0,0,0,0,0,0,0,48,15.74,14.77,16.55,16.82,18.75,0,0,0,0,0,0,0,16.53
1D,10,108,63.75,6885,5193,4531,2941,4476,4270,0,0,0,0,0,0,0,21411,83,51,36,71,47,0,0,0,0,0,0,0,288,12.44,13.3,14.11,13.8,14.77,0,0,0,0,0,0,0,13.68
1D,11,108,64.4,6955,3635,2775,2752,3615,4568,0,0,0,0,0,0,0,17345,41,42,40,39,54,0,0,0,0,0,0,0,216,12.99,10.7,12.63,12.95,10.77,0,0,0,0,0,0,0,12.01
1A,12,116,73.91,8574,3816,2426,2177,2432,3537,0,0,0,0,0,0,0,14388,15,2,8,5,3,0,0,0,0,0,0,0,33,14.9,17.7,18.4,15.71,11.87,0,0,0,0,0,0,0,15.71
1A,13,116,56.8,6589,2483,3004,1864,2108,2514,0,0,0,0,0,0,0,11973,9,9,11,11,21,0,0,0,0,0,0,0,61,14.86,16.59,17.49,14.12,15.24,0,0,0,0,0,0,0,15.66
1C,21,110,4.82,530,250,248,244,176,348,0,0,0,0,0,0,0,1266,0,3,2,5,5,0,0,0,0,0,0,0,15,12.32,12.78,15.08,15.00,15.00,0,0,0,0,0,0,0,14.04
2G,14,122,66.85,8156,4230,3600,2789,2490,3540,0,0,0,0,0,0,0,16649,17,16,13,14,22,0,0,0,0,0,0,0,82,16.03,17.15,15.29,21.3,14.44,0,0,0,0,0,0,0,16.84
2G,15,122,62.93,7677,7400,6180,4012,3200,4230,0,0,0,0,0,0,0,25022,23,21,21,24,18,0,0,0,0,0,0,0,107,11.25,9.21,11.22,13.51,11.99,0,0,0,0,0,0,0,11.44
2G,16,122,61.13,7458,5150,3550,2710,1970,3160,0,0,0,0,0,0,0,16540,23,21,17,16,17,0,0,0,0,0,0,0,94,9.59,10.9,11.99,15.57,13.22,0,0,0,0,0,0,0,12.26
3,17,115,65.1,7487,6490,6360,4050,2770,3890,0,0,0,0,0,0,0,23560,16,19,20,15,18,0,0,0,0,0,0,0,88,10.07,9.63,11.26,13.37,15.65,0,0,0,0,0,0,0,11.99
3,18,115,88.19,10142,8640,6310,4410,3690,5970,0,0,0,0,0,0,0,29020,20,18,16,17,17,0,0,0,0,0,0,0,88,10.85,10.69,12.07,17.58,13.86,0,0,0,0,0,0,0,13.01
3,19,115,63.95,7354,6920,4900,4420,2750,3290,0,0,0,0,0,0,0,22280,15,14,15,12,13,0,0,0,0,0,0,0,69,8.15,10.33,13.18,13.97,14.51,0,0,0,0,0,0,0,12.03
3,20,115,57.3,6590,3800,2930,2154,1890,2170,0,0,0,0,0,0,0,12944,16,14,13,16,12,0,0,0,0,0,0,0,71,13.41,13.62,15.08,14.39,15.26,0,0,0,0,0,0,0,14.35
4,1,122,719.49,87778,28658,24211,22259,31425,28798,0,0,0,0,0,0,0,135351,369,418,402,376,404,0,0,0,0,0,0,0,1969,28.07,29,27.99,27.64,26.82,0,0,0,0,0,0,0,27.9
1F,88,,1.64,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2F,88,,4.79,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3F,88,,22.44,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
