JENTERA,APLIKASI,JUMLAH,
KOMODO C700,PENUAIAN,4,
CARABAO G350,PENUAIAN,1,
3-WHEELER,PENUAIAN,4,
TIGER G1500,PENUAIAN,2,
PALM CUTTER,OPERASI LADANG,3,
TRACTOR MOUNTED SPREADER,PEMBAJAAN,1,
MISTBLOWER,MERUMPUT,16,
TRACTOR MOUNTED GRASSCUTTER,PENJAGAAN LORONG TUAI,1,
,,,
PERINGKAT,LUAS,BILANGAN JENTERA PENUAIAN,RATIO
PERINGKAT 1G,512.51,5,102.502
"PERINGKAT 1A,1C",289.43,2,144.715
PERINGKAT 1D,128.15,1,128.15
PERINGKAT 2G,219.78,2,109.89
PERINGKAT 03,274.54,2,137.27
PERINGKAT 004,427.39,3,142.46
JUMLAH,1851.8,15,127.5
