Peringkat,Luas (Ha),Pusingan 1,Pusingan 2,Pusingan 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1G,512.51,512.51,512.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2G,190.91,190.91,190.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A,284.61,284.61,284.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1C,4.82,4.82,4.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1D,128.15,128.15,128.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,274.54,268.85,268.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,719.49,719.49,719.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2F,4.79,4.79,4.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1F,1.64,1.64,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3F,22.44,22.44,22.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUMLAH,2143.9,2138.21,2138.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
