Peringkat,Luas (Ha),Pusingan,Kadar (kg/pokok),Keperluan (Beg),Spreader (Beg),Manual (Beg),Siap (Beg),% Siap,
1G,515.53,1,3,"3,998","2,384","1,614",3998,100%,
1A,284.61,1,3,"1,981",394,"1,587",1981,100%,
1C,4.82,1,3,32,0,32,32,100%,
1D,128.15,1,3,830,625,205,830,100%,
2G,202.4,1,3,"1,414",563,"1,351",515,36%,
3,283.68,1,3,"1,914",563,"1,351",585,31%,
1F,1.64,1,3,11,0,11,11,100%,
2F,4.79,1,3,41,0,41,0,0%,
3F,22.44,1,3,171,0,171,0,0%,
,,,,,,,,,
Peringkat,Luas (Ha),Pusingan,Kadar (kg/pokok),Keperluan (Beg),Spreader (Beg),Manual (Beg),Siap (Beg),% Siap,
1G,515.53,2,3.95,"5,263","3,139","2,124",,0%,
1A,284.61,2,2.5,"1,651",328,"1,323",,0%,
1C,4.82,2,3.95,41,0,41,,0%,
1D,128.15,2,3.95,1093,595,498,,0%,
2G,202.4,2,2.69,"1,162",292,870,,0%,
3,283.68,2,3,"1,914",563,"1,351",,0%,
1F,1.64,2,2.5,9,0,9,,0%,
2F,4.79,2,3,41,0,41,,0%,
3F,22.44,2,3,171,0,171,,0%,
,,,,,,,,,
Peringkat,Luas (Ha),Pusingan,Kadar (kg/pokok),Keperluan (Beg),Spreader (Beg),Manual (Beg),Siap (Beg),% Siap,
1G,515.53,3,2.5,"3,331","1,986","1,345",,0%,
1A,284.61,3,2.5,"1,650",328,"1,322",,0%,
1C,4.82,3,2.5,27,0,27,,0%,
1D,128.15,3,2.5,693,378,315,,0%,
2G,202.4,3,2.5,943,210,733,,0%,
3,283.68,3,2.5,"1,276",376,900,,0%,
1F,1.64,3,2.5,9,0,9,,0%,
2F,4.79,3,2.5,28,0,28,,0%,
3F,22.44,3,2.5,114,0,114,,0%,
,,,,,,,,,
Peringkat,Luas (Ha),Pusingan,Kadar (kg/pokok),Keperluan (Beg),Spreader (Beg),Manual (Beg),Siap (Beg),% Siap,
1G,515.53,4,2.5,"3,331","1,986","1,345",,0%,
1A,284.61,4,2.5,"1,650",328,"1,322",,0%,
1C,4.82,4,2.5,27,0,27,,0%,
1D,128.15,4,2.5,693,378,315,,0%,
2G,202.4,4,2.5,943,210,733,,0%,
3,283.68,4,2.5,"1,276",376,900,,0%,
1F,1.64,4,2.5,9,0,9,,0%,
2F,4.79,4,2.5,28,0,28,,0%,
3F,22.44,4,2.5,114,0,114,,0%,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
